Senator Name,State,Party,Year Elected,Term End,DC. Office Phone Number,Contact URL
Tommy Tuberville,Alabama,Republican,2021,2027,(202) 224-4124,tuberville.senate.gov
Katie Britt,Alabama,Republican,2023,2029,(202) 224-5744,britt.senate.gov
Lisa Murkowski,Alaska,Republican,2002,2029,(202) 224-6665,murkowski.senate.gov
Dan Sullivan,Alaska,Republican,2015,2027,(202) 224-3004,sullivan.senate.gov
Mark Kelly,Arizona,Democrat,2020,2027,(202) 224-2235,kelly.senate.gov/contact
Ruben Gallego,Arizona,Democrat,2025,2031,(202) 224-2235,gallego.senate.gov/contact
ohn Boozman,Arkansas,Republican,2011,2029,(202) 224-4843,boozman.senate.gov
Tom Cotton,Arkansas,Republican,2015,2027,(202) 224-2353,cotton.senate.gov
Dianne Feinstein,California,Democrat,1992,2023,(202) 224-3841,feinstein.senate.gov
Alex Padilla,California,Democrat,2021,2027,(202) 224-3553,padilla.senate.gov
Michael Bennet,Colorado,Democrat,2009,2029,(202) 224-5852,bennet.senate.gov/contact
John Hickenlooper,Colorado,Democrat,2021,2027,(202) 224-5941,hickenlooper.senate.gov/contact
Richard Blumenthal,Connecticut,Democrat,2011,2029,(202) 224-2823,blumenthal.senate.gov
Chris Murphy,Connecticut,Democrat,2013,2031,(202) 224-4041,murphy.senate.gov
Chris Coons,Delaware,Democrat,2010,2027,(202) 224-5042,coons.senate.gov
Lisa Blunt Rochester,Delaware,Democrat,2025,2031,(202) 224-2441,bluntrochester.senate.gov
Rick Scott,Florida,Republican,2019,2031,(202) 224-5274,rickscott.senate.gov
Ashley Moody,Florida,Republican,2025,2028,(202) 224-3041,"moody.senate.gov Note: Placeholder URL, Moody's official Senate site may differ"
Jon Ossoff,Georgia,Democrat,2021,2027,(202) 224-3521,ossoff.senate.gov/contact-us
Raphael Warnock,Georgia,Democrat,2021,2029,(202) 224-3643,warnock.senate.gov/contact
Brian Schatz,Hawaii,Democrat,2012,2028,(202) 224-3934,schatz.senate.gov
Mazie Hirono,Hawaii,Democrat,2013,2025,(202) 224-6361,hirono.senate.gov
Mike Crapo,Idaho,Republican,1999,2025,(202) 224-6142,crapo.senate.gov/contact
